iter	MultiRMSE
0	2.756050931
1	2.699583925
2	2.645218546
3	2.593595074
4	2.542976233
5	2.495030201
6	2.449120226
7	2.404767933
8	2.362336422
9	2.321184639
10	2.281722996
11	2.244097152
12	2.208017583
13	2.173451514
14	2.140273059
15	2.10952433
16	2.079393794
17	2.050279984
18	2.02283405
19	1.996451343
20	1.97115724
21	1.94733122
22	1.924481513
23	1.902763112
24	1.882062117
25	1.862361344
26	1.843406446
27	1.82518568
28	1.808466215
29	1.791996263
30	1.776321191
31	1.761483055
32	1.747409816
33	1.73384347
34	1.721114171
35	1.709127454
36	1.69795548
37	1.687169191
38	1.676568944
39	1.666650267
40	1.657174383
41	1.648507199
42	1.640116977
43	1.632074051
44	1.624374642
45	1.617063394
46	1.610294512
47	1.604068992
48	1.597639012
49	1.591950348
50	1.586394035
51	1.581193605
52	1.576287471
53	1.571692084
54	1.567209592
55	1.562962261
56	1.559111754
57	1.555482677
58	1.551857045
59	1.54810547
60	1.544859679
61	1.541796354
62	1.53889363
63	1.535920864
64	1.533304238
65	1.530799084
66	1.528604261
67	1.526418096
68	1.524228617
69	1.522218121
70	1.520278874
71	1.518342253
72	1.516663602
73	1.514979893
74	1.513510293
75	1.511917737
76	1.51035059
77	1.508949805
78	1.507607051
79	1.506374684
80	1.505318376
81	1.50410897
82	1.503128731
83	1.501944082
84	1.500909301
85	1.499947139
86	1.49896106
87	1.498188343
88	1.497452097
89	1.496737085
90	1.49594988
91	1.495244616
92	1.494610026
93	1.4938535
94	1.493250568
95	1.492641091
96	1.492033695
97	1.491414992
98	1.490883196
99	1.490280352
100	1.489748606
101	1.489215875
102	1.488680257
103	1.488160728
104	1.487657169
105	1.487241569
106	1.486757863
107	1.486353128
108	1.486017724
109	1.48558608
110	1.485181165
111	1.484840898
112	1.484501126
113	1.484123083
114	1.48380661
115	1.483520951
116	1.483199974
117	1.482881664
118	1.482578816
119	1.482261678
120	1.481940685
121	1.481672788
122	1.481481823
123	1.481215749
124	1.480903586
125	1.480639845
126	1.480355837
127	1.480124047
128	1.479874905
129	1.479609182
130	1.479407776
131	1.479175057
132	1.478928478
133	1.478682596
134	1.478498448
135	1.478291561
136	1.478082989
137	1.47784984
138	1.477614378
139	1.477386143
140	1.477208942
141	1.477030919
142	1.476830629
143	1.476659141
144	1.476473375
145	1.476304178
146	1.4761103
147	1.475950829
148	1.475762648
149	1.475613978
150	1.475394795
151	1.475248623
152	1.475119651
153	1.474998457
154	1.474877526
155	1.474739382
156	1.47465945
157	1.474492118
158	1.474353007
159	1.474219154
160	1.474085244
161	1.473926367
162	1.473813405
163	1.473658361
164	1.473508919
165	1.473379662
166	1.473255568
167	1.473104205
168	1.472960802
169	1.472840555
170	1.472732038
171	1.47260904
172	1.472474103
173	1.472342801
174	1.47220465
175	1.472101817
176	1.47196746
177	1.471848375
178	1.471739091
179	1.471628828
180	1.471495539
181	1.471380226
182	1.471290108
183	1.471188698
184	1.471078419
185	1.470958199
186	1.470834691
187	1.470707159
188	1.470561971
189	1.470447823
190	1.470347909
191	1.470269814
192	1.470184376
193	1.47008276
194	1.469977809
195	1.469858977
196	1.469751248
197	1.469656909
198	1.469577166
199	1.46949
200	1.469389247
201	1.469255546
202	1.46915382
203	1.469026323
204	1.468902183
205	1.468804992
206	1.46869706
207	1.468589886
208	1.468487202
209	1.468387574
210	1.468259844
211	1.468155114
212	1.468038411
213	1.467955097
214	1.467854046
215	1.467767662
216	1.46765104
217	1.467547438
218	1.467456366
219	1.467351749
220	1.467247059
221	1.467144025
222	1.467061963
223	1.466955199
224	1.466866893
225	1.466766916
226	1.466649492
227	1.466568252
228	1.466481389
229	1.466382559
230	1.466308662
231	1.466235027
232	1.466134314
233	1.465978808
234	1.465856312
235	1.465767053
236	1.465679502
237	1.46563015
238	1.46556155
239	1.465469716
240	1.465365385
241	1.46529083
242	1.465208253
243	1.465137614
244	1.465059373
245	1.464943248
246	1.46487045
247	1.464771685
248	1.464715613
249	1.4646321
250	1.464523097
251	1.464405848
252	1.464290079
253	1.464212237
254	1.464107469
255	1.464015513
256	1.463926374
257	1.463821871
258	1.463739789
259	1.463664051
260	1.463591959
261	1.463533253
262	1.463436107
263	1.463370772
264	1.463306274
265	1.463216752
266	1.463129967
267	1.463017796
268	1.462903414
269	1.462810862
270	1.462730884
271	1.46268698
272	1.462579364
273	1.462493525
274	1.462391999
275	1.462270598
276	1.462156682
277	1.462048676
278	1.461979284
279	1.461873855
280	1.461796106
281	1.461719055
282	1.461592062
283	1.461496379
284	1.461414479
285	1.461323465
286	1.461235067
287	1.461138568
288	1.461059409
289	1.461003041
290	1.460896362
291	1.460799672
292	1.460721236
293	1.460665626
294	1.460582252
295	1.460473791
296	1.460372213
297	1.460279648
298	1.460225979
299	1.460152536
300	1.460065231
301	1.459985028
302	1.459904102
303	1.459829481
304	1.459765847
305	1.459684242
306	1.459602895
307	1.459497994
308	1.459437182
309	1.459357059
310	1.459253591
311	1.459155678
312	1.459092441
313	1.459014617
314	1.458926202
315	1.458804834
316	1.458711169
317	1.458613593
318	1.458548448
319	1.458438458
320	1.458370113
321	1.458280463
322	1.45817314
323	1.458094527
324	1.457999118
325	1.457935091
326	1.457852588
327	1.457761865
328	1.45768147
329	1.45759273
330	1.457530781
331	1.457458573
332	1.457388552
333	1.457298748
334	1.457206866
335	1.457145314
336	1.457048013
337	1.456935853
338	1.456840812
339	1.456776894
340	1.456671419
341	1.456586299
342	1.456512053
343	1.456433733
344	1.456326482
345	1.456252049
346	1.456164909
347	1.456070968
348	1.455973929
349	1.455883107
350	1.455787722
351	1.455717648
352	1.45565242
353	1.455566806
354	1.45547023
355	1.455395316
356	1.455333957
357	1.45524426
358	1.455170085
359	1.455067571
360	1.454980104
361	1.454929643
362	1.45482824
363	1.454748779
364	1.454658991
365	1.454594003
366	1.454497004
367	1.454426125
368	1.454318297
369	1.454252071
370	1.454178233
371	1.454122024
372	1.454025204
373	1.453950573
374	1.453847513
375	1.453771671
376	1.453691018
377	1.453624847
378	1.453564473
379	1.453490598
380	1.453437912
381	1.453361561
382	1.453310305
383	1.453232031
384	1.453140298
385	1.453065944
386	1.452977236
387	1.45289153
388	1.4527821
389	1.452700399
390	1.452631958
391	1.452540586
392	1.452458798
393	1.452368442
394	1.452260917
395	1.452169536
396	1.452103249
397	1.45206216
398	1.451940588
399	1.451852819
400	1.451777459
401	1.45171265
402	1.451597255
403	1.451490852
404	1.451406283
405	1.451304405
406	1.451242626
407	1.45115409
408	1.451036653
409	1.450951492
410	1.45082328
411	1.450741683
412	1.450655199
413	1.450593894
414	1.450515687
415	1.450420059
416	1.450333733
417	1.450204394
418	1.450127593
419	1.450046414
420	1.44996079
421	1.449861529
422	1.449765987
423	1.449691545
424	1.449599869
425	1.449538389
426	1.44944935
427	1.449343325
428	1.449207943
429	1.44910496
430	1.449042013
431	1.448962825
432	1.448868852
433	1.44878985
434	1.448699972
435	1.448606266
436	1.448530053
437	1.44843166
438	1.448371261
439	1.448265385
440	1.448182069
441	1.448077671
442	1.447963575
443	1.447891964
444	1.447803096
445	1.44773754
446	1.447660523
447	1.447567153
448	1.447470184
449	1.447382198
450	1.447298022
451	1.447188178
452	1.447075791
453	1.446969525
454	1.446912223
455	1.446796387
456	1.446709732
457	1.446603025
458	1.446511419
459	1.446392621
460	1.446308021
461	1.446206682
462	1.446121628
463	1.446035436
464	1.445961268
465	1.445850735
466	1.445779162
467	1.44565458
468	1.445590772
469	1.445485783
470	1.445385611
471	1.445297228
472	1.445230252
473	1.44513109
474	1.44503204
475	1.444920982
476	1.444820924
477	1.444707573
478	1.444618392
479	1.444515763
480	1.444421464
481	1.444356458
482	1.444265682
483	1.444161622
484	1.444025426
485	1.443938554
486	1.443889723
487	1.443816784
488	1.443745826
489	1.443648504
490	1.44357108
491	1.443483109
492	1.443436628
493	1.443331707
494	1.443218726
495	1.443137987
496	1.443051026
497	1.442974213
498	1.44290418
499	1.442807359
500	1.442728575
501	1.442644813
502	1.442538371
503	1.442441555
504	1.442338472
505	1.442257389
506	1.442184259
507	1.442120488
508	1.442007497
509	1.441899874
510	1.4417885
511	1.441687978
512	1.441607348
513	1.441481079
514	1.441406305
515	1.441326551
516	1.441225517
517	1.441140857
518	1.441041088
519	1.440980147
520	1.440878236
521	1.440772859
522	1.440693708
523	1.440630922
524	1.440574225
525	1.440465515
526	1.440370643
527	1.440304851
528	1.440210163
529	1.440106483
530	1.440017531
531	1.439907671
532	1.439802718
533	1.439706673
534	1.439596575
535	1.439481098
536	1.439393574
537	1.439288657
538	1.439195045
539	1.439118646
540	1.439051982
541	1.438978763
542	1.438906166
543	1.438783708
544	1.438714096
545	1.438624617
546	1.438529755
547	1.438430507
548	1.438332903
549	1.438249123
550	1.438174204
551	1.438062276
552	1.437998517
553	1.437911668
554	1.437803386
555	1.437740355
556	1.437647586
557	1.437566928
558	1.437484031
559	1.437394696
560	1.437331505
561	1.437234493
562	1.437155663
563	1.437095307
564	1.437009962
565	1.43692281
566	1.436844726
567	1.4367537
568	1.436674976
569	1.436595101
570	1.436484359
571	1.436377549
572	1.436276516
573	1.436191544
574	1.436116621
575	1.436059151
576	1.435970594
577	1.435900336
578	1.435799327
579	1.43570564
580	1.435620104
581	1.435521703
582	1.435424428
583	1.435328957
584	1.435193804
585	1.435116434
586	1.435027071
587	1.4349662
588	1.434880801
589	1.434793376
590	1.434715717
591	1.434633681
592	1.434534358
593	1.434470935
594	1.434364551
595	1.434240106
596	1.434169614
597	1.434070796
598	1.433999728
599	1.433921836
600	1.433847128
601	1.433766108
602	1.433706667
603	1.433628931
604	1.43354054
605	1.433435998
606	1.433344765
607	1.433241834
608	1.433133406
609	1.433067687
610	1.432987162
611	1.432886282
612	1.43279957
613	1.432721084
614	1.432650719
