iter	Passed	Remaining
0	499	499191
1	797	398160
2	1095	363938
3	1397	347922
4	1698	337980
5	2002	331693
6	2288	324613
7	2587	320852
8	2887	317994
9	3184	315232
10	3498	314512
11	3788	311952
12	4083	310005
13	4386	308927
14	4679	307256
15	4982	306407
16	5278	305230
17	5587	304816
18	5903	304823
19	6201	303859
20	6498	302967
21	6809	302731
22	7111	302063
23	7418	301691
24	7701	300341
25	8010	300074
26	8315	299663
27	8609	298864
28	8906	298211
29	9199	297441
30	9487	296561
31	9785	296011
32	10098	295920
33	10392	295267
34	10700	295033
35	10996	294459
36	11293	293936
37	11587	293345
38	11885	292861
39	12174	292192
40	12482	291962
41	12767	291231
42	13056	290572
43	13355	290175
44	13640	289476
45	13930	288913
46	14217	288288
47	14497	287529
48	14796	287174
49	15089	286701
50	15395	286482
51	15674	285752
52	15984	285616
53	16297	285509
54	16606	285333
55	16906	284987
56	17198	284532
57	17497	284190
58	17777	283532
59	18093	283460
60	18400	283251
61	18681	282637
62	18982	282323
63	19272	281854
64	19559	281349
65	19865	281126
66	20181	281031
67	20474	280626
68	20798	280630
69	21095	280263
70	21386	279829
71	21687	279523
72	21979	279107
73	22268	278654
74	22573	278409
75	22862	277954
76	23164	277667
77	23446	277147
78	23732	276682
79	24016	276191
80	24321	275940
81	24608	275496
82	24904	275152
83	25188	274676
84	25480	274293
85	25780	273993
86	26072	273612
87	26368	273275
88	26686	273162
89	26986	272858
90	27269	272399
91	27574	272144
92	27865	271761
93	28144	271264
94	28440	270936
95	28720	270448
96	29002	269995
97	29302	269698
98	29615	269535
99	29926	269334
100	30226	269044
101	30517	268676
102	30828	268478
103	31122	268134
104	31408	267719
105	31690	267275
106	31993	267009
107	32297	266756
108	32598	266471
109	32875	265991
110	33157	265556
111	33428	265044
112	33736	264817
113	34027	264463
114	34324	264145
115	34627	263882
116	34919	263535
117	35209	263179
118	35516	262943
119	35834	262787
120	36132	262481
121	36429	262170
122	36716	261791
123	36983	261269
124	37269	260886
125	37550	260470
126	37860	260256
127	38140	259834
128	38425	259443
129	38712	259077
130	39011	258789
131	39300	258428
132	39610	258209
133	39898	257851
134	40190	257515
135	40492	257244
136	40788	256939
137	41081	256612
138	41363	256216
139	41660	255915
140	41924	255414
141	42208	255032
142	42479	254577
143	42772	254257
144	43081	254029
145	43362	253643
146	43657	253330
147	43928	252888
148	44197	252430
149	44485	252082
150	44765	251696
151	45076	251478
152	45363	251129
153	45641	250729
154	45951	250508
155	46226	250099
156	46529	249836
157	46794	249372
158	47077	249006
159	47379	248743
160	47654	248334
161	47931	247943
162	48223	247626
163	48505	247261
164	48798	246952
165	49087	246619
166	49362	246220
167	49651	245890
168	49966	245691
169	50266	245417
170	50548	245058
171	50857	244824
172	51169	244606
173	51440	244194
174	51721	243832
175	51995	243434
176	52300	243181
177	52604	242926
178	52908	242671
179	53199	242354
180	53532	242225
181	53824	241912
182	54151	241757
183	54488	241646
184	54803	241432
185	55082	241058
186	55392	240825
187	55701	240582
188	56019	240381
189	56318	240093
190	56607	239765
191	56890	239415
192	57181	239095
193	57470	238767
194	57743	238376
195	58038	238074
196	58314	237696
197	58625	237462
198	58903	237094
199	59176	236704
200	59458	236354
201	59754	236059
202	60044	235742
203	60330	235408
204	60626	235111
205	60920	234809
206	61208	234483
207	61506	234196
208	61812	233939
209	62088	233569
210	62410	233372
211	62709	233090
212	62975	232684
213	63277	232410
214	63553	232044
215	63833	231692
216	64123	231378
217	64398	231006
218	64667	230618
219	64954	230292
220	65254	230016
221	65523	229628
222	65804	229283
223	66079	228917
224	66353	228551
225	66629	228191
226	66933	227926
227	67225	227623
228	67514	227307
229	67805	227002
230	68082	226645
231	68353	226273
232	68645	225969
233	68924	225624
234	69210	225302
235	69483	224937
236	69779	224647
237	70053	224290
238	70335	223954
239	70615	223614
240	70895	223276
241	71185	222969
242	71446	222570
243	71734	222260
244	72017	221930
245	72311	221636
246	72588	221292
247	72878	220986
248	73166	220676
249	73463	220389
250	73748	220071
251	74062	219835
252	74378	219606
253	74698	219391
254	74992	219095
255	75303	218851
256	75600	218566
257	75918	218339
258	76245	218138
259	76561	217905
260	76870	217651
261	77164	217355
262	77470	217093
263	77772	216821
264	78078	216557
265	78367	216246
266	78682	216008
267	78982	215728
268	79272	215420
269	79552	215087
270	79840	214773
271	80122	214445
272	80420	214159
273	80712	213858
274	80986	213508
275	81289	213237
276	81582	212938
277	81881	212657
278	82180	212374
279	82493	212125
280	82778	211807
281	83076	211522
282	83369	211221
283	83670	210943
284	83969	210660
285	84276	210395
286	84563	210082
287	84866	209808
288	85156	209501
289	85444	209191
290	85738	208895
291	86036	208608
292	86344	208345
293	86642	208059
294	86937	207765
295	87213	207427
296	87518	207157
297	87815	206868
298	88105	206562
299	88401	206271
300	88686	205953
301	88972	205637
302	89251	205307
303	89538	204995
304	89807	204644
305	90116	204381
306	90391	204043
307	90695	203769
308	90992	203481
309	91287	203188
310	91596	202926
311	91887	202623
312	92170	202303
313	92449	201975
314	92738	201670
315	93034	201378
316	93313	201051
317	93600	200740
318	93882	200420
319	94161	200094
320	94452	199791
321	94739	199481
322	95020	199159
323	95287	198810
324	95572	198497
325	95856	198180
326	96130	197846
327	96419	197542
328	96696	197213
329	96993	196927
330	97274	196606
331	97551	196277
332	97841	195977
333	98139	195691
334	98443	195416
335	98738	195125
336	99015	194799
337	99321	194529
338	99620	194245
339	99914	193951
340	100202	193647
341	100490	193342
342	100788	193054
343	101079	192757
344	101387	192489
345	101677	192188
346	101965	191883
347	102249	191570
348	102524	191242
349	102811	190935
350	103082	190599
351	103366	190288
352	103651	189979
353	103936	189669
354	104218	189354
355	104501	189041
356	104787	188735
357	105078	188435
358	105370	188141
359	105663	187847
360	105937	187518
361	106200	187171
362	106483	186859
363	106786	186583
364	107075	186282
365	107366	185984
366	107654	185681
367	107956	185402
368	108242	185098
369	108514	184767
370	108803	184466
371	109078	184142
372	109362	183834
373	109639	183514
374	109943	183238
375	110234	182942
376	110502	182607
377	110776	182283
378	111068	181987
379	111348	181674
380	111632	181366
381	111935	181089
382	112216	180777
383	112503	180473
384	112775	180147
385	113066	179851
386	113351	179546
387	113638	179243
388	113933	178954
389	114215	178644
390	114504	178346
391	114785	178035
392	115070	177729
393	115358	177428
394	115645	177128
395	115943	176842
396	116211	176512
397	116478	176181
398	116771	175889
399	117076	175614
400	117365	175316
401	117659	175025
402	117949	174729
403	118240	174433
404	118518	174120
405	118806	173820
406	119093	173519
407	119369	173202
408	119671	172923
409	119965	172633
410	120267	172353
411	120556	172056
412	120838	171749
413	121129	171454
414	121405	171138
415	121673	170810
416	121964	170516
417	122248	170212
418	122526	169898
419	122826	169617
420	123104	169305
421	123382	168992
422	123683	168712
423	123965	168405
424	124244	168094
425	124515	167775
426	124798	167470
427	125082	167165
428	125367	166865
429	125650	166560
430	125932	166254
431	126204	165935
432	126494	165640
433	126783	165344
434	127072	165048
435	127357	164746
436	127628	164428
437	127920	164136
438	128196	163822
439	128487	163529
440	128766	163221
441	129062	162933
442	129357	162646
443	129640	162343
444	129912	162025
445	130186	161711
446	130448	161383
447	130732	161081
448	131017	160780
449	131299	160477
450	131574	160165
451	131872	159880
452	132159	159583
453	132448	159288
454	132731	158985
455	133024	158695
456	133309	158395
457	133594	158097
458	133884	157803
459	134193	157530
460	134471	157224
461	134775	156946
462	135047	156632
463	135350	156352
464	135632	156050
465	135927	155761
466	136196	155444
467	136484	155148
468	136757	154836
469	137044	154540
470	137322	154232
471	137599	153925
472	137868	153608
473	138144	153299
474	138440	153013
475	138737	152728
476	139000	152404
477	139278	152098
478	139543	151779
479	139836	151489
480	140131	151201
481	140422	150910
482	140699	150604
483	140987	150308
484	141257	149995
485	141537	149691
486	141805	149376
487	142086	149074
488	142361	148766
489	142654	148476
490	142942	148182
491	143215	147872
492	143488	147562
493	143753	147245
494	144036	146946
495	144325	146653
496	144612	146357
497	144894	146058
498	145190	145772
499	145476	145476
500	145753	145171
501	146040	144877
502	146325	144580
503	146617	144289
504	146912	144003
505	147196	143705
506	147460	143389
507	147731	143078
508	148028	142793
509	148315	142499
510	148612	142213
511	148902	141922
512	149178	141617
513	149487	141344
514	149771	141047
515	150066	140759
516	150342	140455
517	150638	140168
518	150927	139877
519	151226	139593
520	151507	139293
521	151795	139000
522	152077	138701
523	152360	138403
524	152627	138091
525	152917	137799
526	153194	137497
527	153480	137202
528	153761	136903
529	154069	136627
530	154350	136328
531	154657	136051
532	154942	135756
533	155224	135458
534	155502	135156
535	155796	134868
536	156091	134581
537	156363	134274
538	156644	133975
539	156918	133671
540	157214	133385
541	157489	133081
542	157794	132803
543	158089	132516
544	158376	132222
545	158655	131922
546	158937	131624
547	159230	131335
548	159521	131045
549	159809	130753
550	160090	130454
551	160375	130159
552	160661	129865
553	160935	129561
554	161224	129270
555	161502	128969
556	161790	128677
557	162069	128377
558	162355	128083
559	162625	127777
560	162900	127474
561	163196	127188
562	163487	126898
563	163769	126602
564	164045	126300
565	164343	126016
566	164625	125719
567	164905	125420
568	165193	125129
569	165468	124827
570	165759	124537
571	166060	124255
572	166352	123965
573	166657	123686
574	166945	123394
575	167213	123087
576	167503	122797
577	167781	122497
578	168060	122199
579	168351	121910
580	168635	121615
581	168911	121314
582	169199	121022
583	169476	120723
584	169774	120438
585	170056	120142
586	170323	119835
587	170589	119528
588	170877	119237
589	171178	118954
590	171454	118654
591	171740	118361
592	172026	118068
593	172309	117773
594	172584	117473
595	172879	117186
596	173167	116895
597	173438	116592
598	173718	116295
599	174002	116001
600	174272	115698
601	174561	115407
602	174835	115107
603	175122	114815
604	175411	114524
605	175677	114219
606	175964	113927
607	176250	113635
608	176542	113346
609	176832	113057
610	177117	112763
611	177405	112472
612	177695	112183
613	177980	111890
614	178255	111590
615	178542	111299
616	178836	111012
617	179107	110710
618	179398	110421
619	179682	110127
620	179958	109829
621	180252	109542
622	180527	109243
623	180799	108943
624	181076	108646
625	181386	108368
626	181659	108068
627	181944	107775
628	182231	107484
629	182531	107200
630	182825	106913
631	183125	106629
632	183409	106336
633	183686	106040
634	183976	105750
635	184269	105462
636	184556	105171
637	184850	104883
638	185148	104598
639	185446	104313
640	185728	104019
641	186015	103728
642	186306	103438
643	186586	103143
644	186870	102851
645	187175	102569
646	187507	102303
647	187798	102013
648	188117	101740
649	188424	101459
650	188711	101167
651	189004	100879
652	189299	100592
653	189572	100293
654	189851	99998
655	190141	99708
656	190427	99416
657	190720	99128
658	191011	98838
659	191310	98554
660	191592	98260
661	191882	97970
662	192148	97668
663	192445	97381
664	192743	97096
665	193018	96799
666	193317	96513
667	193604	96222
668	193880	95926
669	194167	95634
670	194448	95340
671	194753	95058
672	195038	94766
673	195316	94470
674	195598	94176
675	195874	93880
676	196176	93596
677	196464	93306
678	196751	93014
679	197037	92723
680	197315	92428
681	197608	92139
682	197893	91848
683	198179	91556
684	198458	91261
685	198759	90977
686	199031	90679
687	199328	90393
688	199611	90100
689	199917	89817
690	200202	89526
691	200482	89232
692	200766	88939
693	201062	88652
694	201357	88365
695	201651	88077
696	201940	87787
697	202229	87497
698	202525	87210
699	202798	86913
700	203088	86623
701	203366	86329
702	203656	86039
703	203960	85756
704	204240	85462
705	204532	85173
706	204812	84879
707	205089	84584
708	205372	84292
709	205663	84003
710	205944	83710
711	206230	83419
712	206521	83129
713	206798	82835
714	207073	82539
715	207352	82245
716	207625	81949
717	207922	81663
718	208205	81371
719	208496	81081
720	208784	80791
721	209074	80502
722	209349	80207
723	209640	79918
724	209939	79632
725	210236	79345
726	210537	79060
727	210822	78768
728	211109	78478
729	211401	78189
730	211692	77900
731	211972	77607
732	212260	77317
733	212532	77021
734	212831	76735
735	213105	76439
736	213399	76152
737	213678	75858
738	213963	75567
739	214275	75285
740	214547	74990
741	214829	74698
742	215118	74408
743	215396	74114
744	215688	73826
745	215976	73536
746	216270	73248
747	216546	72954
748	216845	72667
749	217123	72374
750	217402	72081
751	217681	71788
752	217970	71498
753	218251	71206
754	218537	70916
755	218823	70625
756	219123	70339
757	219416	70051
758	219707	69762
759	219996	69472
760	220294	69185
761	220584	68896
762	220871	68606
763	221166	68318
764	221449	68027
765	221739	67737
766	222030	67448
767	222300	67153
768	222579	66860
769	222872	66572
770	223170	66285
771	223459	65995
772	223748	65706
773	224024	65412
774	224318	65124
775	224600	64833
776	224897	64545
777	225189	64257
778	225467	63964
779	225748	63672
780	226045	63385
781	226314	63090
782	226592	62797
783	226883	62508
784	227169	62218
785	227464	61930
786	227740	61637
787	228018	61344
788	228305	61055
789	228586	60763
790	228857	60469
791	229123	60173
792	229401	59881
793	229697	59593
794	229976	59302
795	230268	59013
796	230550	58722
797	230822	58428
798	231121	58141
799	231409	57852
800	231706	57565
801	231992	57275
802	232274	56983
803	232539	56688
804	232834	56400
805	233137	56114
806	233418	55823
807	233731	55540
808	234014	55249
809	234298	54958
810	234567	54665
811	234853	54374
812	235140	54085
813	235438	53798
814	235739	53511
815	236027	53221
816	236291	52926
817	236578	52637
818	236858	52346
819	237126	52052
820	237406	51761
821	237680	51468
822	237964	51178
823	238243	50886
824	238534	50598
825	238820	50308
826	239123	50022
827	239410	49732
828	239711	49445
829	239981	49152
830	240263	48862
831	240547	48572
832	240827	48281
833	241107	47990
834	241403	47702
835	241689	47412
836	241976	47123
837	242276	46836
838	242569	46547
839	242863	46259
840	243164	45972
841	243455	45684
842	243755	45396
843	244038	45106
844	244329	44817
845	244611	44527
846	244903	44238
847	245180	43947
848	245477	43659
849	245743	43366
850	246026	43076
851	246322	42788
852	246602	42497
853	246896	42209
854	247182	41919
855	247457	41628
856	247741	41338
857	248033	41049
858	248320	40760
859	248608	40471
860	248903	40183
861	249191	39893
862	249473	39603
863	249769	39315
864	250052	39025
865	250341	38736
866	250641	38448
867	250925	38159
868	251206	37868
869	251495	37579
870	251774	37289
871	252049	36998
872	252324	36706
873	252589	36414
874	252870	36124
875	253164	35836
876	253460	35548
877	253741	35257
878	254025	34968
879	254303	34677
880	254593	34388
881	254911	34103
882	255192	33813
883	255489	33525
884	255763	33234
885	256037	32943
886	256303	32651
887	256590	32362
888	256873	32073
889	257158	31783
890	257438	31493
891	257750	31207
892	258047	30919
893	258333	30630
894	258637	30342
895	258913	30052
896	259205	29763
897	259494	29474
898	259798	29187
899	260086	28898
900	260381	28610
901	260694	28323
902	260983	28034
903	261278	27746
904	261559	27456
905	261847	27167
906	262130	26877
907	262418	26588
908	262707	26299
909	262978	26008
910	263269	25720
911	263547	25429
912	263824	25139
913	264107	24850
914	264398	24561
915	264669	24271
916	264959	23982
917	265238	23692
918	265518	23402
919	265804	23113
920	266085	22823
921	266357	22533
922	266647	22244
923	266941	21956
924	267236	21667
925	267538	21379
926	267826	21090
927	268126	20802
928	268422	20514
929	268715	20225
930	269018	19937
931	269313	19649
932	269586	19359
933	269875	19070
934	270160	18781
935	270444	18491
936	270714	18201
937	271019	17913
938	271304	17624
939	271598	17336
940	271881	17046
941	272179	16758
942	272465	16469
943	272739	16179
944	273026	15890
945	273301	15600
946	273597	15312
947	273860	15021
948	274144	14732
949	274414	14442
950	274698	14153
951	274978	13864
952	275265	13575
953	275569	13287
954	275849	12998
955	276136	12709
956	276421	12420
957	276702	12130
958	276984	11841
959	277267	11552
960	277557	11264
961	277871	10976
962	278163	10687
963	278458	10398
964	278771	10110
965	279057	9821
966	279343	9532
967	279619	9243
968	279905	8954
969	280182	8665
970	280480	8376
971	280758	8087
972	281040	7798
973	281318	7509
974	281607	7220
975	281886	6931
976	282179	6642
977	282449	6353
978	282744	6065
979	283035	5776
980	283318	5487
981	283611	5198
982	283890	4909
983	284174	4620
984	284452	4331
985	284733	4042
986	285013	3753
987	285300	3465
988	285591	3176
989	285896	2887
990	286193	2599
991	286469	2310
992	286779	2021
993	287079	1732
994	287365	1444
995	287688	1155
996	287995	866
997	288339	577
998	288700	288
999	289043	0
